HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,LHand,LhipYawPitch/RhipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,RHand,
0.49521,0.5907,0.83869,0.3607,0.17122,0.36371,0.5063,0.2468,0.60728,0.32306,0.53409,0.3605,0.39756,0.34095,0.6757,0.52722,0.36054,0.39711,0.65902,0.83907,0.64392,0.82839,0.63838,0.49452,0.2452,moving hips
0.49521,0.5907,0.83869,0.36164,0.17122,0.36269,0.5063,0.2468,0.60565,0.32437,0.43612,0.35702,0.3961,0.34226,0.6757,0.4338,0.35497,0.39421,0.65771,0.83871,0.64299,0.82839,0.63838,0.49494,0.2452,moving rshoulderpitch
0.49521,0.5907,0.83869,0.36164,0.17159,0.36371,0.5063,0.2468,0.60646,0.32437,0.43688,0.35911,0.3961,0.34226,0.6757,0.43532,0.35776,0.39421,0.65771,0.75081,0.64299,0.82839,0.63736,0.4962,0.2452,moving rshoulderpitch
0.49521,0.59199,0.83869,0.36164,0.17122,0.36371,0.5063,0.2468,0.60646,0.32437,0.43688,0.35911,0.3961,0.34095,0.6757,0.43608,0.35915,0.39421,0.65771,0.67726,0.64299,0.82839,0.63635,0.49662,0.3428,opening rhand
0.49521,0.5907,0.83869,0.36164,0.17122,0.36371,0.5063,0.2468,0.60728,0.32437,0.43764,0.3598,0.3961,0.34095,0.67701,0.43608,0.35915,0.39421,0.65771,0.67837,0.64299,0.82839,0.63635,0.49662,0.4416,opening rhand
0.49521,0.5907,0.83869,0.36164,0.17122,0.36371,0.5063,0.2468,0.60646,0.32437,0.43688,0.3598,0.3961,0.34095,0.67701,0.43608,0.35915,0.39421,0.65771,0.67837,0.64299,0.82839,0.63635,0.4962,0.5432,opening rhand
0.49521,0.59199,0.83869,0.36164,0.17122,0.36371,0.5063,0.2468,0.60728,0.32437,0.43764,0.35911,0.3961,0.34095,0.6757,0.43608,0.35915,0.39421,0.65771,0.67837,0.64299,0.82839,0.63635,0.4962,0.638,opening rhand
0.49521,0.5907,0.83869,0.36164,0.17122,0.36269,0.5063,0.2468,0.60728,0.32437,0.43764,0.3598,0.3961,0.34095,0.67701,0.43608,0.35915,0.39421,0.65771,0.67837,0.64299,0.82839,0.63635,0.4962,0.7416,opening rhand
0.49521,0.5907,0.83869,0.36164,0.17122,0.36269,0.5063,0.2468,0.60728,0.32437,0.43764,0.3598,0.3961,0.34095,0.67701,0.43608,0.35984,0.39421,0.65771,0.67837,0.65047,0.82839,0.63635,0.49662,0.7416,moving rshoulderroll
0.49521,0.5907,0.83869,0.36164,0.17122,0.36371,0.5063,0.2468,0.60728,0.32437,0.43764,0.3605,0.3961,0.34095,0.6757,0.43684,0.35984,0.39421,0.65902,0.67837,0.74397,0.82839,0.63635,0.49662,0.7416,moving rshoulderroll
0.49521,0.5907,0.83869,0.36164,0.17122,0.36371,0.5063,0.2464,0.60728,0.32437,0.43688,0.3598,0.3961,0.34095,0.67701,0.43608,0.35984,0.39421,0.65771,0.67874,0.92256,0.82839,0.63533,0.49704,0.7416,moving shoulderroll
0.49521,0.59199,0.83869,0.36164,0.17122,0.36269,0.5063,0.2468,0.60728,0.32437,0.43764,0.3598,0.3961,0.34095,0.6757,0.43684,0.35984,0.39421,0.65902,0.67874,0.92256,0.82839,0.52763,0.49662,0.7416,moving relbowroll
